siteid,amount,st
13,10666,max+mara
13,9226,пальто
13,7448,etro
13,6674,max&co
13,6660,пуховик
13,6541,burberry
13,5625,платье
13,5612,moncler
13,4885,moschino
13,4676,sportmax
13,4382,stone island
13,4218,max mara
13,4195,gucci
13,4135,marina+rinaldi
13,3964,купальник
13,3180,kenzo
13,2749,жилет
13,2650,stone+island
13,2375,сумка
13,2368,weekend
13,2125,платья
13,2124,la+perla
13,2105,ремень
13,2093,парка
13,2092,кардиган
13,2054,шапка
13,1910,пуховики
13,1898,комбинезон
13,1770,галстук
13,1751,paul+smith
13,1689,спортивный костюм
13,1657,джинсы
13,1656,рюкзак
13,1653,куртка
13,1629,bosco
13,1612,persona
13,1610,bosco+fresh
13,1610,юбка
13,1594,перчатки
13,1561,armani
13,1537,ermanno+scervino
13,1513,сапоги
13,1486,сумки
13,1462,marina+sport
13,1462,marina rinaldi
13,1454,шарф
13,1453,водолазка
13,1395,шорты
13,1366,кашемир
13,1359,weekend+maxmara
13,1331,jil+sander
13,1325,футболка
13,1299,n21
13,1258,плащ
13,1235,туфли
13,1217,red+valentino
13,1168,weekend max mara
13,1102,боди
13,1095,свитшот
13,1056,versace
13,1050,платье+макси
13,1049,bosco+sport
13,1048,кроссовки
13,1035,maxmara
13,1031,купальники
13,1021,шляпа
13,1007,джемпер
13,1003,бейсболка
13,990,топ
13,988,s+max+mara
13,965,iceberg
13,947,marina
13,945,юбки
13,932,max+co
13,925,свитер
13,923,юбка+макси
13,905,isaia
13,858,дубленка
13,857,herno
13,850,кеды
13,830,носки
13,824,max
13,820,брюки
13,813,платок
13,796,кепка
13,792,бомбер
13,784,dolce+gabbana
13,767,persona+by+marina+rinaldi
13,766,valentino
13,764,вечерние+платья
13,746,кюлоты
13,744,костюм
13,743,жакет
13,738,босоножки
13,722,paul smith
13,715,molo
13,690,тренч
13,688,туника
13,683,love+moschino
13,679,catya
13,673,la perla
13,664,толстовка
13,656,шуба
13,650,casadei
13,646,il+gufo
13,641,alberta+ferretti
13,633,falke
13,622,кошелек
13,621,воротник
13,615,dolce&gabbana
13,609,блуза
13,603,халат
13,585,dolce
13,584,red valentino
13,572,bosco fresh
13,571,aletta
13,563,бархат
13,561,love moschino
13,560,hugo boss
13,557,brooks+brothers
13,551,болеро
13,537,брошь
13,534,scervino
13,531,ugg
13,529,платья+макси
13,528,чехол
13,524,antonio+marras
13,522,зонт
13,520,rochas
13,518,barbara+bui
13,512,hugo+boss
13,502,пайетки
13,486,pal+zileri
13,477,колготки
13,476,очки
13,463,ботинки
13,459,обувь
13,442,ermanno scervino
13,441,рубашка
13,440,jil sander
13,439,шапки
13,432,платье+max+mara
13,429,weekend maxmara
13,420,dolce gabbana
13,419,ботильоны
13,419,naturino
13,417,weekend+max+mara
13,416,платье-макси
13,414,balmain
13,412,pinko
13,404,балетки
13,396,лонгслив
13,396,dior
13,393,manudieci
13,392,пальто+max+mara
13,390,marina sport
13,389,пальто max mara
13,388,куртки
13,387,s max mara
13,384,moschino+boutique
13,383,поло
13,378,платье+футляр
13,377,плиссированная+юбка
13,376,falcotto
13,375,сарафан
13,372,moschino+couture
13,371,il+trenino
13,367,пиджак
13,367,жилеты
13,366,corneliani
13,360,max+mara+
13,360,брелок
13,359,boss
13,358,ermanno
13,356,voyage+by+marina+rinaldi
13,356,jog dog
13,355,zanotti
13,354,bosco sport
13,345,пижама
13,344,сорочка
13,342,макси
13,338,sportmax+code
13,336,кожаная куртка
13,335,max co
13,335,brooks brothers
13,333,bally
13,329,zegna
13,329,ermano+scervino
13,328,джинсовая куртка
13,325,юбка+карандаш
13,322,michael+kors
13,322,запонки
13,322,леггинсы
13,320,вечернее+платье
13,315,paul shark
13,311,юбка-карандаш
13,310,горнолыжные куртки
13,310,ботфорты
13,309,пальто+из+шерсти
13,309,self portrait
13,308,max mara пальто
13,300,спортивные+брюки
13,296,горнолыжный
13,296,купальник+la+perla
13,294,stone
13,294,premiata
13,293,юбка-макси
13,292,варежки
13,291,ожерелье
13,289,il gufo
13,287,tara+jarmon
13,287,галстуки
13,285,платье макси
13,285,missoni
13,284,мех
13,284,легинсы
13,284,max+mara+пальто
13,281,calvin klein
13,280,клатч
13,280,футболки
13,279,платье-футляр
13,278,persona by marina rinaldi
13,278,max@co
13,276,marras
13,275,платье-рубашка
13,272,marc+jacobs
13,272,alberta ferretti
13,270,lardini
13,270,ralph+lauren
13,264,iro
13,263,philosophy
13,263,woolrich
13,262,юбки+макси
13,261,трикотажное+платье
13,256,платье+миди
13,254,ralph lauren
13,252,ободок
13,251,юбка макси
13,249,sochi 2014
13,249,philosophy+di+l+serafini
13,245,сандалии
13,242,max+mara+платье
13,238,платье+свободного+кроя
13,232,marni
13,232,il trenino
13,230,joseph
13,230,chloe
13,226,панама
13,226,aspesi
13,225,майка
13,224,boutique+moschino
13,222,ferretti
13,222,шарфы
13,221,coccinelle
13,218,пояс
13,216,лен
13,216,браслет
13,216,комбинация
13,215,термобелье
13,215,пайетками
13,214,шелк
13,214,слипоны
13,213,белое+платье
13,212,sportmax code
13,212,чемодан
13,211,джемпер+кашемир
13,209,marella
13,208,рюкзаки
13,207,emporio+armani
13,205,серьги
13,205,stone+island+
13,204,вечерние платья
13,204,парки
13,204,tara jarmon
13,202,michael kors
13,201,paul&shark
13,201,пончо
13,200,юбка-миди
13,198,add
13,197,плиссированная+юбки
13,197,водолазки
13,196,tory burch
13,193,barena
13,193,юбка-мини
13,193,бриджи
13,191,спортивный+костюм
13,190,pal zileri
13,190,пуховик max mara
13,189,max mara пуховик
13,188,guess
13,187,kenzo свитшот
13,187,платье+etro
13,186,armani+jeans
13,185,emporio armani
13,185,плиссированная юбка
13,185,burberry+
13,184,берет
13,183,karl lagerfeld
13,182,moschino+платье
13,182,брюки+из+шерсти
13,181,костюм спортивный мужской
13,180,манжеты
13,179,molo kids
13,178,шлепанцы
13,178,ea7
13,178,brooks
13,176,шубы
13,176,купальник слитный
13,176,norveg
13,176,косметичка
13,175,спортивные костюмы
13,175,‘s+max+mara
13,174,портмоне
13,174,пуховик+
13,174,удлиненный стеганый пуховик
13,172,чехол для iphone
13,172,эспадрильи
13,171,baby+dior
13,170,max mara weekend
13,170,maxmara+weekend
13,169,giuseppe+zanotti
13,169,tory+burch
13,169,платье max mara
13,168,sochi
13,168,спортивные брюки
13,168,barbara bui
13,166,canada goose
13,166,красное+платье
13,165,furla
13,162,юбка+миди
13,161,jean+paul+gaultier
13,159,sonia+rykiel
13,158,горох
13,157,marc jacobs
13,156,fendi
13,156,платье+max&co
13,155,поясная сумка
13,154,полоска
13,154,dkny
13,154,p.a.r.o.s.h.
13,153,armani jeans
13,153,elisabetta franchi
13,153,пальто+
13,152,max+&+co
13,152,купальник+слитный
13,151,смокинг
13,151,carven
13,150,бейсболки
13,150,moschino+
13,149,пальто из шерсти
13,148,moncler+
13,147,тапочки
13,147,baby dior
13,146,часы
13,146,джинсовая юбка
13,143,платье+рубашка
13,143,платье+moschino
13,142,угги
13,142,очки солнцезащитные
13,141,кепки
13,141,ermano
13,139,купальник+
13,139,деним
13,139,брюки+на+резинке
13,138,платье рубашка
13,138,kors
13,138,кружево
13,138,кожа
13,138,мюли
13,137,alberta+feretti
13,137,ugg australia
13,137,nanan
13,136,бабочка
13,136,дубленки
13,136,pollini
13,136,giuseppe zanotti
13,136,платье-мини
13,135,stetson
13,135,etro+
13,134,визитница
13,133,кожаные брюки
13,132,prada
13,131,юбка+из+кожи
13,131,moschino couture
13,131,msgm
13,131,yves salomon
13,130,обложка для паспорта
13,130,полусапоги
13,129,qweasd
13,128,вечернее+платье+макси
13,127,voyage by marina rinaldi
13,126,клетка
13,126,mi+mi+sol
13,126,isola+marras
13,125,плащи
13,124,rinaldi
13,123,fresh
13,123,antonio marras
13,122,платье-миди
13,121,платье свободного кроя
13,120,раздельный купальник
13,120,юбка из кожи
13,119,платье+
13,119,клипсы
13,119,юбка карандаш
13,118,ermano scervino
13,118,платья макси
13,117,куртка горнолыжная
13,116,колье
13,115,gucci+
13,115,манжеты max mara
13,114,парео
13,114,ветровка
13,113,броши
13,113,isabel marant
13,112,юбка+из+денима
13,112,nike
13,111,удлиненный+кардиган
13,111,calvin+klein
13,111,ремень+из+кожи
13,111,плиссированная
13,111,плавки
13,111,горнолыжная куртка
13,111,горнолыжные брюки
13,110,резиновые сапоги
13,110,сумка max mara
